sku,title,category,brand,model,retail_price_inr,wholesale_price_inr,moq,stock,rating,image_prompt,image_alt,animation_treatment,poc_only,source_note
BE-0001,NovaTek 5G Smartphone GSM-1001,Mobiles,NovaTek,GSM-1001,7199,5900,1,10,3.9,"premium studio product photograph of a 5g smartphone, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","NovaTek 5G Smartphone, front three-quarter product view",slow-360-spin,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0002,Cobalt Feature Phone FEA-1002,Mobiles,Cobalt,FEA-1002,8149,6680,1,17,4.0,"premium studio product photograph of a feature phone, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Cobalt Feature Phone, front three-quarter product view",hotspot-reveal,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0003,Astra Rugged Smartphone RUG-1003,Mobiles,Astra,RUG-1003,9099,7460,1,24,4.1,"premium studio product photograph of a rugged smartphone, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Astra Rugged Smartphone, front three-quarter product view",parallax-depth,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0004,Orbis 5G Smartphone GSM-1004,Mobiles,Orbis,GSM-1004,10049,8240,1,31,4.2,"premium studio product photograph of a 5g smartphone, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Orbis 5G Smartphone, front three-quarter product view",color-swap,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0005,IndusTech Feature Phone FEA-1005,Mobiles,IndusTech,FEA-1005,9999,8200,1,38,4.3,"premium studio product photograph of a feature phone, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","IndusTech Feature Phone, front three-quarter product view",exploded-view,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0006,NovaTek Rugged Smartphone RUG-1006,Mobiles,NovaTek,RUG-1006,10949,8980,1,45,4.4,"premium studio product photograph of a rugged smartphone, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","NovaTek Rugged Smartphone, front three-quarter product view",light-sweep,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0007,Cobalt 5G Smartphone GSM-1007,Mobiles,Cobalt,GSM-1007,11899,9760,1,52,4.5,"premium studio product photograph of a 5g smartphone, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Cobalt 5G Smartphone, front three-quarter product view",none-reduced-motion,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0008,Astra Feature Phone FEA-1008,Mobiles,Astra,FEA-1008,12849,10540,1,59,4.6,"premium studio product photograph of a feature phone, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Astra Feature Phone, front three-quarter product view",card-tilt,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0009,Orbis Rugged Smartphone RUG-1009,Mobiles,Orbis,RUG-1009,7799,6400,1,66,4.7,"premium studio product photograph of a rugged smartphone, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Orbis Rugged Smartphone, front three-quarter product view",slow-360-spin,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0010,IndusTech 5G Smartphone GSM-1010,Mobiles,IndusTech,GSM-1010,7749,6350,1,73,4.8,"premium studio product photograph of a 5g smartphone, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","IndusTech 5G Smartphone, front three-quarter product view",hotspot-reveal,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0011,NovaTek Feature Phone FEA-1011,Mobiles,NovaTek,FEA-1011,8699,7130,1,80,4.9,"premium studio product photograph of a feature phone, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","NovaTek Feature Phone, front three-quarter product view",parallax-depth,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0012,Cobalt Rugged Smartphone RUG-1012,Mobiles,Cobalt,RUG-1012,9649,7910,1,4,3.8,"premium studio product photograph of a rugged smartphone, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Cobalt Rugged Smartphone, front three-quarter product view",color-swap,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0013,Astra 5G Smartphone GSM-1013,Mobiles,Astra,GSM-1013,10599,8690,1,11,3.9,"premium studio product photograph of a 5g smartphone, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Astra 5G Smartphone, front three-quarter product view",exploded-view,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0014,Orbis Feature Phone FEA-1014,Mobiles,Orbis,FEA-1014,11549,9470,1,18,4.0,"premium studio product photograph of a feature phone, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","Orbis Feature Phone, front three-quarter product view",light-sweep,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
BE-0015,IndusTech Rugged Smartphone RUG-1015,Mobiles,IndusTech,RUG-1015,11499,9430,1,25,4.1,"premium studio product photograph of a rugged smartphone, clean neutral background, ecommerce catalog, front three-quarter view, no logo, 1:1","IndusTech Rugged Smartphone, front three-quarter product view",none-reduced-motion,YES,"Synthetic proof-of-concept record; replace price, stock, brand and media before production"
